epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,prec_class_7,prec_class_8,prec_class_9,prec_class_10,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,rec_class_7,rec_class_8,rec_class_9,rec_class_10,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9,f1_class_10,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6,auc_class_7,auc_class_8,auc_class_9,auc_class_10
1,1.3570189392963554,1.4841202131907145,0.5760869565217391,0.9239715132218401,0.47465899645306797,0.46535000182130654,0.42189025614690673,0.9834254143646409,0.5652173913043478,0.0,0.0,0.33126934984520123,0.16753926701570682,0.48916761687571264,0.7346491228070176,0.9553571428571429,0.3333333333333333,0.6612903225806451,0.9319371727748691,0.38235294117647056,0.0,0.0,0.8106060606060606,0.20382165605095542,1.0,0.9654178674351584,0.6079545454545454,0.01675977653631285,0.2,0.956989247311828,0.45614035087719296,0.0,0.0,0.4703296703296703,0.1839080459770115,0.6569678407350689,0.8343711083437111,0.7430555555555556,0.031914893617021274,0.30711610486891383,0.9960370226765084,0.9676984330850243,0.9452399099883856,0.660689904606899,0.9386732367927059,0.9270237535445076,0.9823470806659803,0.9841970646054551,0.9756280637254902,0.8560284959116647,0.9301236798376213
2,1.0606386385922368,1.203208094437917,0.6153846153846154,0.9445030149492252,0.5827103046192886,0.5316185535342757,0.4692762682883456,0.9723756906077348,0.367816091954023,0.0,1.0,0.3829787234042553,0.21343283582089553,0.7175732217573222,0.9776357827476039,0.914364640883978,0.8636363636363636,0.0,0.9214659685863874,0.9411764705882353,0.0,0.10396039603960396,0.13636363636363635,0.910828025477707,0.7995337995337995,0.8818443804034583,0.9403409090909091,0.2122905027932961,0.0,0.946236559139785,0.5289256198347108,0.0,0.18834080717488788,0.2011173184357542,0.34582829504232165,0.7563395810363837,0.9272727272727272,0.927170868347339,0.34080717488789236,0.0,0.996783946373733,0.9750064217826868,0.9668762703252032,0.990270807902708,0.9668711450791095,0.9392439333703815,0.9556551446515786,0.9987570724970583,0.9803503787878788,0.8696806832152314,0.7500373604559091
3,0.9848359069533178,0.6277731237808863,0.7449832775919732,0.9770714583483051,0.6035691898891655,0.6280176862897515,0.595877800232448,0.9881656804733728,0.5027624309392266,0.0,0.7432950191570882,0.0,0.618421052631579,0.7205387205387206,1.0,0.9821958456973294,0.7475728155339806,0.33630952380952384,0.8743455497382199,0.8921568627450981,0.0,0.9603960396039604,0.0,0.29936305732484075,0.9976689976689976,0.962536023054755,0.9403409090909091,0.4301675977653631,0.551219512195122,0.9277777777777778,0.6431095406360424,0.0,0.838012958963283,0.0,0.4034334763948498,0.8367546432062561,0.9809104258443465,0.9608127721335269,0.5460992907801419,0.4177449168207024,0.9990247174654072,0.978311499272198,0.9817118539488966,0.9967697454676975,0.9586484312148029,0.9715840921073255,0.9982662947512667,0.999852032440126,0.9890833890374332,0.9600481663708862,0.9144858197553168
4,0.9348823301742168,0.9469090549151102,0.6262541806020067,0.9648014446724694,0.6349794109654268,0.5572445228576474,0.49803390863104985,1.0,0.4552238805970149,0.5,1.0,0.26535087719298245,0.4782608695652174,0.8780487804878049,0.9848024316109423,0.9969135802469136,0.35070140280561124,0.07547169811320754,0.8638743455497382,0.5980392156862745,0.0625,0.07920792079207921,0.9166666666666666,0.07006369426751592,0.6713286713286714,0.9337175792507204,0.9176136363636364,0.9776536312849162,0.03902439024390244,0.9269662921348315,0.5169491525423728,0.1111111111111111,0.14678899082568808,0.41156462585034015,0.12222222222222222,0.760898282694848,0.9585798816568047,0.9556213017751479,0.5162241887905604,0.05144694533762058,0.9914912545701502,0.974693895025259,0.981194650116144,0.9891789863917899,0.9370172968624296,0.9721740121688824,0.9794674674959952,0.9966939819479577,0.9898437499999999,0.980453238481598,0.8206073583369579
5,0.8813551572115883,0.7206591835618019,0.737876254180602,0.97788745991252,0.7434351955607483,0.6507707896250648,0.6035447668164525,0.98125,0.75,0.4846938775510204,0.7844827586206896,0.42857142857142855,0.5060728744939271,0.5974930362116991,0.9585987261146497,0.9610778443113772,0.8164556962025317,0.9090909090909091,0.8219895287958116,0.029411764705882353,0.9895833333333334,0.900990099009901,0.022727272727272728,0.7961783439490446,1.0,0.8674351585014409,0.9119318181818182,0.7206703910614525,0.0975609756097561,0.8945868945868946,0.05660377358490566,0.6506849315068494,0.8387096774193549,0.04316546762589928,0.6188118811881188,0.7480383609415867,0.9107413010590015,0.9358600583090378,0.7655786350148368,0.1762114537444934,0.9982659000787362,0.9814496104118504,0.9786857578397212,0.9907997649079977,0.9879759989273263,0.9710825175622337,0.9939023448957224,0.9982018418438168,0.9857105057932264,0.9808041360472778,0.8898836807298113
6,0.8224336337367056,0.5794181490937869,0.7767558528428093,0.9836864040477675,0.7903024340265592,0.6925773807086052,0.6981062909067435,0.9798657718120806,0.6015625,0.7,0.9865771812080537,0.7692307692307693,0.5362903225806451,0.6217391304347826,1.0,1.0,0.8073394495412844,0.6907216494845361,0.7643979057591623,0.7549019607843137,0.4375,0.7277227722772277,0.07575757575757576,0.8471337579617835,1.0,0.9423631123919308,0.9232954545454546,0.49162011173184356,0.6536585365853659,0.8588235294117647,0.6695652173913044,0.5384615384615384,0.8376068376068376,0.13793103448275862,0.6567901234567901,0.7667560321715817,0.9703264094955489,0.9601181683899557,0.6111111111111112,0.6716791979949874,0.9957920126739155,0.9844293175785599,0.9836627105110337,0.9936253899362539,0.9801622418879056,0.9779364197266989,0.9929642441104489,0.9999901354960083,0.9951774175579322,0.9889530377883861,0.9278575172583001
7,0.7290499169384066,0.47249296262860296,0.846989966555184,0.9893537126426998,0.7605205870703716,0.7763812055457475,0.7562378322444882,0.9835164835164835,0.0,0.49696969696969695,1.0,0.6761363636363636,0.7682119205298014,0.7715827338129496,0.9941690962099126,1.0,0.8402777777777778,0.8348623853211009,0.93717277486911,0.0,0.8541666666666666,0.6188118811881188,0.9015151515151515,0.7388535031847133,1.0,0.9827089337175793,0.9431818181818182,0.6759776536312849,0.8878048780487805,0.9597855227882037,0.0,0.6283524904214559,0.764525993883792,0.7727272727272727,0.7532467532467533,0.8710659898477158,0.9884057971014493,0.9707602339181286,0.7492260061919505,0.8605200945626478,0.9998953355328729,0.9825498758455348,0.9804551393728222,0.9981350874813508,0.9928197908286404,0.9905954772795281,0.9960136653972619,0.9998111652093037,0.9793602384135472,0.9698505782236506,0.9934044854851841
8,0.7026634263345551,0.42348722969492275,0.830267558528428,0.9903434530840717,0.847835566154214,0.7597977442976521,0.7278220443028485,0.984375,0.9047619047619048,0.5310734463276836,0.9942857142857143,0.4482758620689655,0.9285714285714286,0.8626262626262626,0.980225988700565,0.9970149253731343,1.0,0.694980694980695,0.9895287958115183,0.18627450980392157,0.9791666666666666,0.8613861386138614,0.9848484848484849,0.16560509554140126,0.9953379953379954,1.0,0.9488636363636364,0.3687150837988827,0.8780487804878049,0.9869451697127938,0.3089430894308943,0.6886446886446886,0.9230769230769231,0.6161137440758294,0.2810810810810811,0.9242424242424242,0.9900142653352354,0.9723435225618632,0.5387755102040817,0.7758620689655172,0.9998311096098632,0.9851913691240689,0.9824014590592335,0.9994258329942582,0.9832026012335746,0.9798914205104091,0.9973863799640672,1.0,0.9912837009803921,0.9925528933902511,0.9826112170586726
9,0.6541368882510576,0.5501624230047067,0.810200668896321,0.9866580447634853,0.8168004899522139,0.7323391261957773,0.7369392146340769,0.9835164835164835,0.7142857142857143,0.5578231292517006,1.0,0.7755102040816326,0.6059322033898306,0.6651162790697674,1.0,1.0,0.896551724137931,0.7860696517412935,0.93717277486911,0.3431372549019608,0.8541666666666666,0.5643564356435643,0.2878787878787879,0.910828025477707,1.0,1.0,0.9517045454545454,0.43575418994413406,0.7707317073170732,0.9597855227882037,0.46357615894039733,0.6748971193415638,0.7215189873417721,0.4198895027624309,0.727735368956743,0.7988826815642458,1.0,0.975254730713246,0.5864661654135338,0.7783251231527094,0.9993720131972378,0.9867668464765819,0.9840937137049942,0.9905963199059631,0.9921862429605792,0.9900825033129568,0.9906599598397867,1.0,0.9889051359180034,0.9479712314484999,0.9826045256337337
10,0.6421697154622777,1.824345112144947,0.5936454849498328,0.9262302692182949,0.6911588516583036,0.4894275553611445,0.5046719970396355,1.0,0.8701298701298701,0.8923076923076924,0.7932960893854749,0.8,0.24489795918367346,0.38381937911571024,0.9896907216494846,0.7990430622009569,0.13725490196078433,0.6923076923076923,0.3612565445026178,0.6568627450980392,0.6041666666666666,0.7029702970297029,0.09090909090909091,0.07643312101910828,0.951048951048951,0.829971181556196,0.9488636363636364,0.11731843575418995,0.04390243902439024,0.5307692307692308,0.7486033519553073,0.7204968944099379,0.7454068241469817,0.16326530612244897,0.11650485436893204,0.546916890080429,0.9028213166144201,0.8675324675324675,0.12650602409638553,0.08256880733944955,0.9862627886895771,0.9853412107200958,0.9794842479674797,0.9876960983769609,0.9222646822204345,0.8679946992690122,0.896757852437934,0.9975719228032102,0.981029968805704,0.8107702832677399,0.7733592068430972
11,0.626740282665566,0.44379677876830104,0.8515886287625418,0.9891155910717199,0.8141680476392867,0.790997048800008,0.7774772310268119,1.0,0.532051282051282,0.5263157894736842,0.9390862944162437,0.6739130434782609,0.7527472527472527,0.8349705304518664,1.0,0.907859078590786,0.979381443298969,0.8095238095238095,0.9424083769633508,0.8137254901960784,0.10416666666666667,0.9158415841584159,0.9393939393939394,0.8726114649681529,0.9906759906759907,0.8933717579250721,0.9517045454545454,0.5307262569832403,0.7463414634146341,0.9703504043126685,0.6434108527131783,0.17391304347826086,0.9273182957393483,0.7848101265822784,0.8082595870206489,0.906183368869936,0.943683409436834,0.9292649098474342,0.6884057971014492,0.7766497461928934,0.9998358670856418,0.9809401489853583,0.9791349085365854,0.9984560784845607,0.9912375972110485,0.9969221562005728,0.9942122743956672,0.9999661788434574,0.9845184380570409,0.9732106117482524,0.9818372422407351
12,0.6054050755375852,0.5441268139580886,0.7867892976588629,0.9893454691766072,0.8203787759756885,0.6677692326068212,0.6482713790820319,1.0,0.8260869565217391,0.5645161290322581,0.993421052631579,0.8333333333333334,0.38106796116504854,0.7915129151291513,1.0,1.0,1.0,0.6342281879194631,0.93717277486911,0.18627450980392157,0.3645833333333333,0.7475247524752475,0.03787878787878788,1.0,1.0,1.0,0.9545454545454546,0.19553072625698323,0.9219512195121952,0.9675675675675676,0.304,0.4430379746835443,0.8531073446327684,0.07246376811594203,0.5518453427065027,0.8836251287332647,1.0,0.9767441860465116,0.32710280373831774,0.7514910536779325,0.9996598404818371,0.982331535234181,0.9783636396631823,0.9971675934716759,0.9723384285331188,0.993784465438379,0.9944711427136287,1.0,0.9950325868983958,0.9850300534929454,0.9846208750153345
13,0.586573093973385,0.3312854778766632,0.8900501672240803,0.9928514001990923,0.7944000644125547,0.8274369323388601,0.8023993332767083,1.0,0.5125628140703518,0.0,0.9886363636363636,0.8461538461538461,0.813953488372093,0.9069767441860465,0.9719101123595506,1.0,0.8580246913580247,0.8401826484018264,0.8952879581151832,1.0,0.0,0.8613861386138614,0.8333333333333334,0.89171974522293,1.0,0.9971181556195965,0.9488636363636364,0.776536312849162,0.8975609756097561,0.9447513812154696,0.6777408637873754,0.0,0.9206349206349206,0.8396946564885496,0.851063829787234,0.9512195121951219,0.984352773826458,0.9737609329446064,0.8152492668621701,0.8679245283018868,0.9995171162084822,0.9832519907526329,0.9829095891405343,0.999398706993987,0.9965372754089569,0.9932828908932871,0.999899065105382,0.9999055826046518,0.9880305815508021,0.9866734658329273,0.991959137698373
14,0.5770448788118568,0.5728919436534246,0.8131270903010034,0.9847936588244521,0.7551696943879725,0.7094036402211324,0.6984423872556372,1.0,0.6111111111111112,0.5,0.927461139896373,0.4782608695652174,0.5307262569832403,0.8262548262548263,0.9747191011235955,1.0,0.75,0.7083333333333334,0.8219895287958116,0.3235294117647059,0.020833333333333332,0.8861386138613861,0.9166666666666666,0.6050955414012739,0.9976689976689976,1.0,0.9488636363636364,0.5363128491620112,0.7463414634146341,0.9022988505747126,0.4230769230769231,0.04,0.9063291139240506,0.6285714285714286,0.5654761904761905,0.9039070749736009,0.9871977240398293,0.9737609329446064,0.6254071661237784,0.7268408551068883,0.9957848764602478,0.9820917886805377,0.9779008783391405,0.9971133414711334,0.9897961920085814,0.9812394021003435,0.9986866589006171,1.0,0.9885249554367201,0.9485139866759904,0.9730781669956617
15,0.5523555567890002,0.3360378188391527,0.9009197324414716,0.994643690345105,0.8912118681376063,0.8650340912126085,0.8553268825034016,1.0,0.5689655172413793,0.8888888888888888,0.9095022624434389,0.8928571428571429,0.8901734104046243,0.8861283643892339,0.9556962025316456,0.9939759036144579,0.96,0.8571428571428571,0.9424083769633508,0.9705882352941176,0.25,0.995049504950495,0.946969696969697,0.9808917197452229,0.9976689976689976,0.8703170028818443,0.9375,0.8044692737430168,0.8195121951219512,0.9703504043126685,0.717391304347826,0.3902439024390244,0.950354609929078,0.9191176470588235,0.9333333333333333,0.9385964912280702,0.9110105580693816,0.9649122807017544,0.8753799392097265,0.8379052369077307,0.9999928637863322,0.9909495675999658,0.9916430749128919,0.9997897734978978,0.9986558058460713,0.9990680972940624,0.9995333245460603,0.996636204138864,0.9829726492869876,0.9972205883466665,0.9846186445403549
16,0.5349070134534789,0.3854737436274687,0.8662207357859532,0.9920068030658323,0.7630916489555798,0.7884487675387004,0.7679263577149643,0.9791666666666666,0.0,0.4748201438848921,0.9834254143646409,0.5670731707317073,0.7823834196891192,0.8773006134969326,1.0,1.0,1.0,0.7298387096774194,0.9842931937172775,0.0,0.6875,0.8811881188118812,0.7045454545454546,0.9617834394904459,1.0,0.968299711815562,0.9431818181818182,0.659217877094972,0.8829268292682927,0.9817232375979112,0.0,0.5617021276595745,0.9295039164490861,0.6283783783783784,0.8628571428571429,0.934640522875817,0.9838945827232797,0.9707602339181286,0.7946127946127947,0.7991169977924945,0.9999476677664364,0.9819847589690899,0.9786131678281069,0.9992427324924273,0.9800013408420488,0.9966827683495063,0.9999786255517279,1.0,0.9885555926916221,0.9975714859123462,0.9894966933208427
17,0.5319773196237008,0.23656104654073715,0.9322742474916388,0.9973120705660489,0.9233798541204087,0.9094644441561875,0.9098310704647316,1.0,0.9701492537313433,0.7121212121212122,0.994475138121547,0.8333333333333334,0.9235668789808917,0.9127659574468086,0.9558011049723757,0.9970326409495549,0.9122807017543859,0.9456521739130435,0.9162303664921466,0.6372549019607843,0.9791666666666666,0.8910891089108911,0.9848484848484849,0.9235668789808917,1.0,0.9971181556195965,0.9545454545454546,0.8715083798882681,0.848780487804878,0.9562841530054644,0.7692307692307693,0.8245614035087719,0.9399477806788512,0.9027777777777778,0.9235668789808917,0.9543937708565072,0.9760225669957687,0.9753265602322206,0.8914285714285715,0.8946015424164524,0.9995123587327036,0.9950509461426492,0.9954540505226481,0.9996541434965415,0.9991116921426656,0.9987802619017085,0.9996033852376185,0.9999534959097539,0.9985238413547237,0.9873045765625671,0.9974840242229583
18,0.5155147806214199,0.5928848256667455,0.802257525083612,0.976265317634347,0.7846211486580187,0.6817477674991096,0.6617023944335002,0.9940476190476191,0.5625,1.0,0.9617224880382775,0.6666666666666666,0.4968152866242038,0.9449339207048458,0.9692737430167597,1.0,0.6141078838174274,0.4207650273224044,0.8743455497382199,0.5294117647058824,0.052083333333333336,0.995049504950495,0.030303030303030304,0.4968152866242038,1.0,1.0,0.9431818181818182,0.8268156424581006,0.751219512195122,0.9303621169916435,0.5454545454545454,0.09900990099009901,0.9781021897810219,0.057971014492753624,0.4968152866242038,0.9716874292185731,0.9843971631205674,0.9707602339181286,0.7047619047619048,0.5394045534150613,0.995256796648834,0.9835902046408084,0.9809541957026713,0.9998847144988472,0.9104552158755699,0.9596203992647373,0.9998278169444751,1.0,0.9956035539215686,0.9722487989962815,0.9414767974840242
19,0.5147846463318965,0.2486018885175387,0.9172240802675585,0.9957446940568508,0.8761931092750879,0.8678068722088912,0.8639841353575766,1.0,0.6153846153846154,0.7142857142857143,0.97,0.777027027027027,0.7878787878787878,0.9618834080717489,0.9971264367816092,1.0,0.9358974358974359,0.8786407766990292,0.9214659685863874,0.7843137254901961,0.3645833333333333,0.9603960396039604,0.8712121212121212,0.9936305732484076,1.0,1.0,0.9517045454545454,0.8156424581005587,0.8829268292682927,0.9591280653950953,0.6896551724137931,0.4827586206896552,0.9651741293532339,0.8214285714285714,0.8788732394366198,0.9805714285714285,0.9985611510791367,0.975254730713246,0.8716417910447761,0.8807785888077859,0.999942910290658,0.9891129377515198,0.9861489184088269,0.9994303539943036,0.9949986591579513,0.9993131848558685,0.9999964375919547,1.0,0.9904007909982174,0.9977128547157855,0.9961345868602719
20,0.4901842901761082,0.5200974347690741,0.8285953177257525,0.9918973859027553,0.8733589261352861,0.7846873973005489,0.799455636038281,0.9894179894179894,0.9052631578947369,0.8514851485148515,0.9696969696969697,0.6739130434782609,0.9753086419753086,0.6539634146341463,0.9942196531791907,1.0,0.9831932773109243,0.6104868913857678,0.9790575916230366,0.8431372549019608,0.8958333333333334,0.31683168316831684,0.7045454545454546,0.5031847133757962,1.0,0.9913544668587896,0.9488636363636364,0.6536312849162011,0.7951219512195122,0.9842105263157894,0.8730964467005076,0.8730964467005076,0.47761194029850745,0.6888888888888889,0.6638655462184874,0.7907834101382488,0.9927849927849928,0.9737609329446064,0.785234899328859,0.690677966101695,0.9999571827179935,0.9975896908981934,0.9966245644599303,0.9902301189023012,0.979642665593993,0.9940181535787059,0.9984527274389731,0.9999788617771609,0.995248440285205,0.990538387941241,0.968590451336612
